city,pop_2020,lat,lng,geonameId
Portland,652503,45.523450000000004,-122.67621,5746545
Eugene,176654,44.05207,-123.08675,5725846
Salem,175535,44.9429,-123.0351,5750162
Gresham,114247,45.498180000000005,-122.43148000000001,5729485
Hillsboro,106447,45.522890000000004,-122.98983,5731371
Bend,99178,44.058170000000004,-121.31531,5713587
Beaverton,97494,45.48705999999999,-122.80371,5713376
Medford,85824,42.32652,-122.87558999999999,5740099
Springfield,61851,44.04624,-123.02202999999999,5754005
Corvallis,59922,44.56457,-123.26204,5720727
Albany,56472,44.63651000000001,-123.10592999999999,5710756
Tigard,54539,45.43123,-122.77149,5756758
Lake Oswego,40731,45.42067,-122.67065,5735724
Keizer,39376,44.990120000000005,-123.02621,5734711
Grants Pass,39189,42.439330000000005,-123.33067,5729080
Oregon City,37572,45.357339999999994,-122.60676,5744253
McMinnville,34319,45.21012,-123.19872,5739936
Redmond,33274,44.27262,-121.17392,5747882
Tualatin,27942,45.384009999999996,-122.76399,5757506
West Linn,27373,45.36568,-122.61231,5760009
Wilsonville,26664,45.29984,-122.77371,5761287
Forest Grove,26225,45.519839999999995,-123.11066000000001,5727190
Woodburn,26013,45.143730000000005,-122.85536999999998,5761708
Newberg,25138,45.30012,-122.97316000000001,5742726
Happy Valley,23733,45.44679,-122.53036999999999,5730183
Roseburg,23683,43.2165,-123.34174,5749352
Klamath Falls,21813,42.22487,-121.78167,5735238
Ashland,21360,42.19458,-122.70948,5711789
Milwaukie,21119,45.44623,-122.63926000000001,5740900
Sherwood,20450,45.35651,-122.8401,5751632
Hermiston,19354,45.84041,-119.28946,5731070
Central Point,18997,42.37596,-122.91643,5718601
Lebanon,18447,44.53651000000001,-122.90703,5736218
Canby,18171,45.26290000000001,-122.69259,5717758
Pendleton,17107,45.672070000000005,-118.7886,5745380
Dallas,16854,44.91927999999999,-123.31705000000001,5722064
Troutdale,16300,45.53929,-122.38731,5757477
The Dalles,16010,45.59456,-121.17867999999999,5756304
Coos Bay,15985,43.3665,-124.21789000000001,5720495
St. Helens,13817,45.864,-122.80649,5750041
La Grande,13026,45.32458,-118.08772,5735537
Cornelius,12694,45.519839999999995,-123.05982999999999,5720639
Sandy,12612,45.39734,-122.26148,5750477
Gladstone,12017,45.38067999999999,-122.59481000000001,5728429
Ontario,11645,44.02655000000001,-116.96294,5744166
Monmouth,11110,44.84845,-123.23399,5741227
Prineville,10736,44.299850000000006,-120.83447,5746901
Cottage Grove,10574,43.79762,-123.05952,5720755
Silverton,10484,45.005120000000005,-122.78315,5752024
Fairview,10424,45.538450000000005,-122.43398,5726018
